age (bp),depth (cm),depth_bot (mm),depth_top (mm),age_error (years),age14C_orig (),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),material_dated ()
473,0.5,10,0,36,73,217,0,10,1,1,4
1417,54.5,550,540,65,1017,1100,832,10,1,3,6
2621,112.5,1130,1120,58,2221,2424,2146,10,1,4,2
3706,167.5,1680,1670,59,3306,3783,3462,10,1,5,5
4612,214.5,2150,2140,70,4212,4980,4634,10,1,6,4
5541,276.5,2770,2760,44,5141,5997,5852,10,1,7,1
6537,333.5,3340,3330,45,6137,7172,6918,10,1,8,3
8286,383.5,3840,3830,50,7886,8946,8628,10,1,9,5
9041,420.75,4215,4200,51,8641,9842,9156,15,1,10,4
9403,450,4510,4490,58,9003,10555,9810,20,1,2,4
