depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
1432,Carbon-14,110748,60,460,charcoal flakes,NA
1515.8,Carbon-14,110749,60,830,charcoal flakes,NA
1564.5,Carbon-14,110750,50,1080,charcoal flakes,NA
1666.4,Carbon-14,110751,60,2300,charcoal flakes,NA
1793.5,Carbon-14,110752,60,4590,charcoal flakes,NA
1886,Carbon-14,110753,60,5420,charcoal flakes,NA
1888,Carbon-14,110754,70,5410,Ambrosia seed,NA
1986.7,Carbon-14,110755,70,6310,charcoal flakes,NA
2157.4,Carbon-14,110756,90,6610,charcoal flakes,NA
2224.5,Carbon-14,110757,80,7300,charcoal flakes,NA
2308.4,Carbon-14,110758,130,9530,charcoal flakes,NA
2356.5,Carbon-14,110759,100,10780,Picea needle,NA
2418,Carbon-14,110760,80,11770,woody twig,NA
2442.5,Carbon-14,110761,80,11830,woody twigs,NA
