depth (cm),age (BP),GoE (missing),GoF (missing)
-21,618,0.6,0.22
-25,735,0.5,0.21
-31,912,0.44,0.25
-35,1029,0.1,0.16
-41,1206,0.41,0.3
-45,1324,0.48,0.28
-51,1500,0.31,0.15
-55,1594,0.62,0.3
-61,1735,0.34,0.19
-65,1829,0.38,0.25
-71,1971,0.29,0.13
-75,2065,0.56,0.46
-81,2206,0.44,0.39
-85,2300,0.39,0.13
-91,2441,0.51,0.3
-95,2535,0.45,0.35
-101,2676,0.5,0.19
-105,2900,0.53,0.39
-111,3300,0.51,0.42
-115,3567,0.57,0.39
-121,3967,0.56,0.34
-125,4124,0.68,0.37
-131,4195,0.34,0.46
-135,4243,0.5,0.53
-141,4314,0.45,0.31
-145,4361,0.4,0.2
-151,4433,0.6,0.37
-155,4480,0.42,0.25
-161,4552,0.45,0.32
-165,4599,0.63,0.34
-171,4670,0.49,0.4
-175,4718,0.46,0.33
-181,4789,0.36,0.35
-185,4837,0.38,0.36
-191,4908,0.45,0.36
-231,4921,0.39,0.39
-235,4995,0.37,0.28
-241,5142,0.44,0.39
-245,5240,0.45,0.42
-251,5387,0.48,0.41
-255,5486,0.54,0.29
-261,5633,0.48,0.31
-265,5731,0.47,0.33
-271,5878,0.45,0.37
-275,5968,0.48,0.36
-281,6101,0.44,0.18
-285,6191,0.5,0.32
-291,6324,0.56,0.47
-295,6414,0.49,0.38
-301,6547,0.6,0.57
-305,6636,0.66,0.48
-311,6770,0.6,0.46
-315,6859,0.62,0.49
-321,6993,0.62,0.29
-325,7082,0.56,0.38
-331,7216,0.49,0.33
-335,7305,0.48,0.36
-341,7439,0.47,0.41
-345,7528,0.47,0.4
-351,7662,0.58,0.42
-355,7751,0.48,0.35
-361,7885,0.5,0.5
-365,7974,0.51,0.35
-371,8108,0.48,0.49
-375,8197,0.58,0.5
-381,8331,0.54,0.47
-385,8420,0.49,0.41
-391,8554,0.45,0.45
-395,8643,0.4,0.34
-401,8777,0.44,0.41
-405,8866,0.48,0.34
-411,9049,0.37,0.46
-415,9177,0.46,0.33
-421,9369,0.42,0.35
-425,9497,0.41,0.28
-431,9690,0.54,0.29
-435,9818,0.47,0.38
-441,10010,0.54,0.4
-445,10138,0.55,0.51
-451,10330,0.59,0.58
-455,10459,0.55,0.21
-461,10651,0.58,0.36
-465,10779,0.57,0.34
-471,10971,0.65,0.51
-475,11099,0.46,0.42
-481,11292,0.36,0.46
-485,11420,0.43,0.44
-491,11612,0.32,0.25
-495,11740,0.45,0.45
-501,11933,0.46,0.48
-505,12061,0.41,0.51
-511,12253,0.59,0.59
-515,12381,0.62,0.6
-521,12573,0.61,0.74
-525,12702,0.56,0.71
-531,12894,0.73,0.74
-535,13022,0.56,0.67
-541,13214,0.73,0.72
-545,13342,0.63,0.66
-551,13535,0.55,0.64
-555,13663,0.53,0.55
-561,13855,0.63,0.66
-565,13983,0.6,0.6
-571,14175,0.64,0.71
-575,14304,0.68,0.63
-581,14496,0.76,0.64
-585,14624,0.63,0.7
-591,14816,0.59,0.65
-596,14977,0.47,0.6
-601,15137,0.4,0.63
-606,15297,0.48,0.73
-611,15457,0.49,0.74
-616,15617,0.57,0.73
-621,15778,0.63,0.69
-626,15938,0.67,0.67
-631,16098,0.66,0.69
-636,16258,0.65,0.72
-641,16418,0.63,0.85
-646,16579,0.62,0.75
-651,16739,0.61,0.74
-656,16899,0.61,0.74
-661,16998,0.62,0.74
-666,17081,0.62,0.73
-671,17165,0.63,0.74
-676,17248,0.61,0.76
-681,17332,0.59,0.77
-686,17415,0.58,0.78
-691,17499,0.57,0.83
-696,17582,0.48,0.8
-701,17666,0.56,0.8
-706,17749,0.56,0.8
-711,17833,0.57,0.8
-716,17916,0.57,0.8
-721,18000,0.57,0.79
-726,18083,0.56,0.78
-731,18167,0.56,0.77
-736,18250,0.54,0.76
-741,18334,0.52,0.73
-746,18417,0.5,0.71
-751,18501,0.51,0.7
-756,18584,0.53,0.69
-761,18668,0.55,0.68
-766,18751,0.57,0.68
-771,18835,0.6,0.68
-776,18918,0.64,0.67
-781,19002,0.65,0.69
-786,19085,0.66,0.7
-791,19169,0.66,0.71
-796,19252,0.65,0.73
-801,19335,0.65,0.75
-806,19419,0.65,0.76
-811,19502,0.66,0.75
-816,19586,0.67,0.73
-821,19669,0.7,0.7
-826,19753,0.69,0.69
-831,19836,0.68,0.68
-836,19920,0.66,0.67
-841,20003,0.67,0.67
-846,20087,0.7,0.67
-851,20170,0.71,0.68
-856,20254,0.69,0.71
-861,20337,0.67,0.74
-866,20421,0.66,0.75
-871,20504,0.66,0.75
-876,20588,0.66,0.74
-881,20671,0.65,0.73
-886,20755,0.63,0.72
-891,20838,0.56,0.71
-896,20922,0.6,0.69
-901,21005,0.58,0.69
-906,21089,0.6,0.7
-911,21172,0.62,0.71
-916,21256,0.64,0.72
-921,21339,0.66,0.73
-926,21423,0.67,0.73
-931,21506,0.66,0.7
-936,21590,0.64,0.67
-941,21673,0.62,0.63
-946,21757,0.65,0.63
-951,21840,0.7,0.64
-956,21924,0.73,0.65
-961,22007,0.7,0.67
-966,22091,0.68,0.69
-971,22174,0.66,0.7
