year (AD),age (BP),planktic.d18O (abs)
1928.4,21.6,-0.581
1892.6,57.4,-0.606
1856.8,93.2,-0.749
1821,129,-0.648
1785.2,164.8,-0.708
1749.4,200.6,-0.204
1713.6,236.4,0.204
1677.8,272.2,0.163
1642,308,-0.184
1606.2,343.8,-0.171
1570.4,379.6,0.048
1534.6,415.4,0.259
1498.8,451.2,0.296
1463,487,0.315
1427.2,522.8,0.213
1391.4,558.6,0.163
1355.6,594.4,0.146
1319.8,630.2,0.113
1284,666,0.435
1251.361,698.639,0.367
1218.722,731.278,0.253
1186.083,763.917,-0.17
1153.444,796.556,-0.437
1088.167,861.833,-0.502
1055.528,894.472,-0.378
1022.889,927.111,-0.317
990.25,959.75,-0.052
957.611,992.389,0.112
892.333,1057.667,-0.145
859.694,1090.306,-0.349
827.056,1122.944,-0.612
794.417,1155.583,-0.112
761.778,1188.222,0.263
729.139,1220.861,1.113
696.5,1253.5,1.031
637.545,1312.455,1.016
578.591,1371.409,0.807
519.636,1430.364,0.768
460.682,1489.318,0.672
401.727,1548.273,0.214
342.773,1607.227,-0.104
283.818,1666.182,-0.151
224.864,1725.136,-0.029
165.909,1784.091,0.103
106.955,1843.045,0.144
48,1902,-0.222
-10.955,1960.955,-0.175
-128.864,2078.864,-0.218
-246.773,2196.773,-0.187
-364.682,2314.682,0.471
-482.591,2432.591,0.368
-600.5,2550.5,1.116
-664,2614,0.376
-727.5,2677.5,0.056
-791,2741,-0.236
-854.5,2804.5,-0.472
-918,2868,-0.479
-981.5,2931.5,-0.774
-1045,2995,-0.613
-1104.84,3054.84,0.321
-1164.68,3114.68,-0.102
-1224.52,3174.52,-0.392
-1284.36,3234.36,-0.012
-1344.2,3294.2,0.055
-1404.04,3354.04,0.098
-1463.88,3413.88,-0.123
-1523.72,3473.72,-0.403
-1583.56,3533.56,0.334
-1703.24,3653.24,0.187
-1763.08,3713.08,0.435
-1850,3800,0.068
-1907.5,3857.5,0.277
-1965,3915,0.251
-2022.5,3972.5,0.469
-2080,4030,0.003
-2137.5,4087.5,-0.565
-2195,4145,-0.269
-2252.5,4202.5,0.27
-2310,4260,0.351
-2410.029,4360.029,-0.059
-2510.059,4460.059,0.031
-2610.088,4560.088,-0.282
-2710.118,4660.118,-0.303
-2810.147,4760.147,-0.13
-2910.176,4860.176,-0.663
-3010.206,4960.206,0.063
-3110.235,5060.235,-0.18
-3210.265,5160.265,0.295
-3310.294,5260.294,-0.27
-3410.324,5360.324,-0.187
-3510.353,5460.353,-0.102
-3610.382,5560.382,-0.463
-3710.412,5660.412,-0.487
-3810.441,5760.441,-0.174
-3910.471,5860.471,-0.163
-4010.5,5960.5,-0.011
-4121.662,6071.662,-0.757
-4232.824,6182.824,-0.343
-4343.986,6293.986,-0.092
-4455.149,6405.149,-0.293
-4566.311,6516.311,-0.329
-4677.473,6627.473,-0.175
-4788.635,6738.635,0.302
-4899.797,6849.797,-0.365
-5010.959,6960.959,-0.164
-5122.122,7072.122,-0.255
-5233.284,7183.284,0.232
-5344.446,7294.446,-0.161
-5455.608,7405.608,-0.238
-5566.77,7516.77,1.25
-5789.095,7739.095,1.357
-6011.419,7961.419,0.657
