depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],precipitation (mm) [1-1],depth (mm) [2-1],age (BP) [2-1],depth (cm) [2-1],d18O (permil v pdb) [2-1],depth.top (mm) [2-1],thickness (mm) [2-1]
2,39.4,10.567,314.825,65,0,3.25,-13.03,0,65
14,285.1,9.898,144.026,112,129.6,8.85,-12.97,65,47
26,546.9,10.139,25.774,150,226.3,13.1,-12.97,112,38
38,824.9,10.26,228.507,200,306.3,17.5,-13.43,150,50
50,1119.1,11.899,146.792,252,414,22.6,-13.16,200,52
62,1429.4,11.386,257.531,300,529,27.6,-13.205,252,48
68,1590.7,9.398,306.344,342,637.8,32.1,-13.38,300,42
74,1756,10.7,366.235,382,735.1,36.2,-13.15,342,40
80,1925.3,11.389,179.993,450,829.7,41.6,-13.24,382,68
86,2098.6,11.387,224.551,502,994.6,47.6,-13.2,450,52
92,2276,11.108,307.903,565,1124.1,53.35,-13.055,502,63
98,2457.5,10.318,393.943,604,1285.2,58.45,-13.195,565,39
104,2642.9,10.79,156.541,653,1387.1,62.85,-13.3,604,49
110,2832.4,11.678,268.86,691,1517.6,67.2,-13.195,653,38
116,3026,11.601,198.315,747,1620.7,71.9,-12.885,691,56
122,3223.6,11.703,102.124,791,1775.5,76.9,-13.165,747,44
128,3425.2,11.394,190.645,840,1899.6,81.55,-13.35,791,49
134,3630.9,11.147,316.074,882,2040.4,86.1,-13.23,840,42
140,3840.7,11.742,271.98,920,2163.2,90.1,-12.85,882,38
146,4054.4,11.85,187.253,969,2276,94.45,-13.04,920,49
152,4272.2,10.381,398.091,1032,2423.9,100.05,-13.045,969,63
158,4494.1,11.941,228.483,1097,2618,106.45,-13.63,1032,65
164,4719.9,11.965,412.393,1159,2822.9,112.8,-13.275,1097,62
170,4949.9,12.833,263.216,1206,3022.7,118.25,-13.42,1159,47
176,5183.8,12.047,456.817,1270,3177.1,123.8,-13.48,1206,64
182,5421.9,11.172,513.495,1330,3391.4,130,-13.52,1270,60
188,5663.9,13.092,429.299,1390,3596.2,136,-13.44,1330,60
194,5910,13.453,337.317,1445,3805.4,141.75,-13.3,1390,55
200,6160.1,12.955,653.854,1480,4000.6,146.25,-13.29,1445,35
206,6414.3,12.609,309.439,1532,4126.6,150.6,-13.47,1480,52
212,6672.5,12.125,797.473,1581,4316.3,155.65,-13.69,1532,49
218,6934.8,12.149,288.289,1636,4497.8,160.85,-13.51,1581,55
224,7201.1,12.149,557.309,1680,4707.8,165.8,-13.26,1636,44
230,7471.4,11.982,716.415,1738,4872.8,170.9,-13.3,1680,58
236,7745.8,12.914,347.904,1779,5097.6,175.85,-13.42,1738,41
242,8041.222,12.355,560.69,1829,5258.8,180.4,-13.34,1779,50
248,8356.556,12.925,511.015,1882,5457.9,185.55,-13.53,1829,53
254,8671.889,12.632,737.815,1928,5672,190.5,-13.24,1882,46
260,8987.222,12.241,859.871,1972,5860.4,195,-12.9,1928,44
266,9307.143,11.636,886.133,2013,6042.9,199.25,-13.11,1972,41
272,9650,12.053,682.608,2072,6214.8,204.25,-13.28,2013,59
278,9992.857,11.326,799.914,2119,6465.6,209.55,-13.92,2072,47
284,10112.5,11.813,687.009,2157,6668.2,213.8,-13.06,2119,38
290,10187.5,11.374,708.91,2203,6833.8,218,-12.72,2157,46
294,10237.5,9.886,644.428,2250,7036.4,222.65,-13.03,2203,47
NA,NA,NA,NA,2293,7245.8,227.15,-12.96,2250,43
NA,NA,NA,NA,2345,7439.6,231.9,-13.07,2293,52
NA,NA,NA,NA,2380,7676.8,236.25,-13.07,2345,35
NA,NA,NA,NA,2420,7831.1,240,-13.1,2380,40
NA,NA,NA,NA,2470,8041.222,244.5,-12.69,2420,50
NA,NA,NA,NA,2516,8304,249.3,-12.77,2470,46
NA,NA,NA,NA,2580,8545.756,254.8,-12.77,2516,64
NA,NA,NA,NA,2630,8882.111,260.5,-12.36,2580,50
NA,NA,NA,NA,2670,9144.889,265,-12.17,2630,40
NA,NA,NA,NA,2709,9364.286,268.95,-11.95,2670,39
NA,NA,NA,NA,2745,9587.143,272.7,-11.565,2709,36
NA,NA,NA,NA,2785,9792.857,276.5,-11.4,2745,40
NA,NA,NA,NA,2842,10021.429,281.35,-11.29,2785,57
NA,NA,NA,NA,2899,10115,287.05,-11.03,2842,57
NA,NA,NA,NA,2940,10186.25,291.95,-10.99,2899,41
