d18O (),year (AD),d18O ()
-0.592,1970,-1.1
-0.365,1969,-2.621
-0.675,1968,0.657
-0.823,1967,0.02
-0.309,1966,1.051
-0.016,1965,0.329
-1.162,1964,-0.371
-0.054,1963,0.365
-2.018,1962,0.25
0.871,1961,1.599
1.428,1960,-1.005
0.622,1959,1.042
-2.353,1958,0.086
-1.332,1957,-0.434
-0.035,1956,0.348
-0.143,1955,0.63
0.238,1954,0.904
-0.009,1953,-1.236
-2.547,1952,1.407
0.34,1951,-0.481
1.936,1950,0.054
-1.573,1949,-1.182
1.869,1948,0.053
0.145,1947,-3.063
0.037,1946,-0.386
-0.093,1945,-0.421
-0.967,1944,-0.781
-1.155,1943,-1.828
-0.018,1942,1.668
0.892,1941,-1.092
0.749,1940,-1.599
0.194,1939,0.526
-1.258,1938,-0.679
2.742,1937,-1.525
-1.352,1936,-0.482
0.533,1935,-0.674
0.005,1934,-0.538
0.422,1933,-0.921
-0.827,1932,-0.734
-0.126,1931,0.406
0.043,1930,0.489
0.148,1929,-0.249
1.412,1928,3.23
-1.454,1927,-1.435
0.51,1926,-0.648
0.782,1925,-0.96
-0.325,1924,-1.625
-0.119,1923,-0.159
0.325,1922,-1.364
-0.741,1921,-1.075
1.223,1920,-0.886
-0.503,1919,0.452
1.446,1918,-1.361
1.211,1917,-1.043
-0.397,1916,1.608
0.11,1915,0.987
1.237,1914,-0.227
0.202,1913,-1.028
0.195,1912,0.355
-0.348,1911,-1.295
-0.642,1910,1.016
0.577,1909,1.765
-1.501,1908,0.669
-0.554,1907,1.806
0.076,1906,0.444
0.528,1905,0.91
0.37,1904,-1.465
-2.175,1903,0.985
0.611,1902,1.906
-1.123,1901,-1.521
-0.121,1900,1.73
0.698,1899,-1.814
-0.878,1898,0.941
0.05,1897,0.066
1.005,1896,0.621
-0.831,1895,-2.246
-0.227,1894,0.202
1.197,1893,0.294
0.074,1892,0.697
1.33,1891,0.569
-0.847,1890,1.051
0.667,1889,-1.636
-2.974,1888,0.502
0.567,1887,0.933
3.014,1886,1.056
2.386,1885,-0.506
-0.414,1884,-1.817
0.966,1883,-0.74
0.203,1882,-0.54
0.62,1881,-0.638
-1.355,1880,-0.141
-1.04,1879,0.855
-1.088,1878,1.457
2.11,1877,4.142
0.024,1876,0.278
-1.454,1875,-0.715
1.082,1874,-0.054
-0.739,1873,-0.852
-0.748,1872,1.197
0.297,1871,0.688
0.741,1870,0.018
-0.969,1869,1.427
-0.092,1868,-1.7
0.482,1867,-1.21
-0.348,1866,-0.914
-0.895,1865,-1.961
1.845,1864,-0.262
2.037,1863,2.466
-0.676,1862,-2.354
0.859,1861,-0.734
1.125,1860,-0.596
0.167,1859,0.399
0.143,1858,-2.603
-0.737,1857,2.316
-0.789,1856,-0.427
-0.418,1855,-2.026
-1.193,1854,1.595
-0.674,1853,0.649
-1.825,1852,0.154
-0.863,1851,0.405
0.289,1850,0.894
0.107,1849,0.915
-0.513,1848,1.093
-0.101,1847,-0.422
-1.133,1846,-1.474
1.389,1845,0.299
-0.246,1844,0.455
0.434,1843,1.165
0.446,1842,0.178
-1.889,1841,0.805
-2.049,1840,-1.38
-0.715,1839,1.212
0.1,1838,2.128
-0.294,1837,0.28
0.915,1836,-0.084
-1.559,1835,0.338
0.04,1834,0.911
-0.384,1833,1.994
1.039,1832,0.505
-0.76,1831,-2.457
-1.134,1830,-0.295
0.961,1829,0.855
1.67,1828,1.379
-0.145,1827,-1.659
0.944,1826,-0.536
-1.333,1825,1.655
-1.74,1824,1.009
-1.084,1823,1.01
1.656,1822,0.285
-1.89,1821,1.207
-1.564,1820,-0.465
-0.03,1819,-0.211
-0.11,1818,-0.171
0.162,1817,-1.223
1.82,1816,-0.188
-0.542,1815,-0.102
-0.186,1814,-0.261
0.97,1813,1.217
1.057,1812,1.16
0.92,1811,-2.635
0.555,1810,-0.33
-0.65,1809,-1.147
0.359,1808,-1.681
0.623,1807,1.587
1.033,1806,0.634
1.155,1805,-0.288
-1.282,1804,-0.442
0.912,1803,1.63
-0.226,1802,1.991
1.337,1801,1.974
0.567,1800,-1.312
-0.386,1799,0.255
-1.025,1798,-0.966
-0.401,1797,1.013
2.073,1796,0.178
1.001,1795,0.576
1.464,1794,1.947
0.755,1793,0.242
0.717,1792,0.214
-0.004,1791,-0.093
1.817,1790,-0.078
0.471,1789,-0.102
-0.276,1788,-1.676
-1.49,1787,0.525
0.468,1786,-0.472
0.76,1785,-0.899
-0.845,1784,-0.362
-0.317,1783,0.06
0.364,1782,-0.958
-1.241,1781,0.343
0.66,1780,-1.273
1.619,1779,-1.304
-1.921,1778,2.082
