year (AD),depth (cm),d18O (permil),d18O (permil)
1970,NA,-29.4,-26.93
1969,NA,-26.56,-24.45
1968,NA,-27.75,-26.68
1967,NA,-28.88,-26.57
1966,NA,-29.61,-29.2
1965,NA,-27.24,-26.84
1964,NA,-29.06,-25.01
1963,NA,-27.54,-27.09
1962,NA,-29,-27.48
1961,NA,-27.2,-25.8
1960,NA,-25.89,-25.59
1959,NA,-26.85,-25.42
1958,NA,-30.18,-26.14
1957,NA,-28.22,-26.33
1956,NA,-27.88,-27.06
1955,NA,-27.65,-26.1
1954,NA,-27.75,-25.79
1953,NA,-27.34,-24.25
1952,NA,-30.19,-27.07
1951,NA,-27.52,-27.54
1950,NA,-25.85,-25.18
1949,NA,-31.16,-27.61
1948,NA,-25.42,-26.44
1947,NA,-25.55,-23.7
1946,NA,-26.1,-24.99
1945,NA,-27.98,-24.95
1944,NA,-28.71,-26.35
1943,NA,-30.01,-28.73
1942,NA,-26.25,-27.26
1941,NA,-26.61,-23.76
1940,NA,-26.18,-25.04
1939,NA,-27.24,-25.74
1938,NA,-29.26,-26.48
1937,NA,-25.62,-25.92
1936,NA,-28.51,-26.85
1935,NA,-27.98,-25.3
1934,NA,-27.45,-26.68
1933,NA,-25.94,-24.65
1932,NA,-29.42,-22.75
1931,NA,-27.83,-26.42
1930,NA,-27.9,-27.47
1929,NA,-28.59,-24.77
1928,NA,-27.63,-27.6
1927,NA,-29.32,-24.9
1926,NA,-28.02,-27.88
1925,NA,-28.06,-25.22
1924,NA,-28.9,-26.63
1923,NA,-28.49,-26.84
1922,NA,-28.54,-26.11
1921,NA,-28.49,-28.07
1920,NA,-28.84,-24.28
1919,NA,-30.4,-27.76
1918,NA,-28.47,-27.35
1917,NA,-25.75,-25.42
1916,NA,-27.76,-26.03
1915,NA,-29.83,-26.8
1914,NA,-28.88,-27.03
1913,NA,-28.34,-27.12
1912,NA,-28.1,-26.68
1911,NA,-28.68,-26.24
1910,NA,-28.62,-27.88
1909,NA,-25.77,-25.88
1908,NA,-29.12,-26.03
1907,NA,-30.95,-28.9
1906,NA,-29.28,-27.73
1905,NA,-28.49,-27.84
1904,NA,-28.48,-27.58
1903,NA,-29.17,-28.33
1902,NA,-27.57,-28.07
1901,NA,-28.24,-24.6
1900,NA,-29.42,-27.84
1899,NA,-27.8,-26.45
1898,NA,-29.66,-25.44
1897,NA,-27.1,-26.22
1896,NA,-28.05,-27.47
1895,NA,-28.45,-24.62
1894,NA,-29.99,-28.01
1893,NA,-28.15,-26.68
1892,NA,-27.65,-26.23
1891,NA,-26.7,-26.63
1890,NA,-30.08,-26.68
1889,NA,-28.72,-26.2
1888,NA,-31.06,-27.91
1887,NA,-29.31,-28.67
1886,NA,-28.83,-27.64
1885,NA,-27.45,-27.16
1884,NA,-28.75,-24.55
1883,NA,-28.77,-27.49
1882,NA,-30.29,-26.84
1881,NA,-28.11,-26.82
1880,NA,-29.66,-26.53
1879,NA,-29.49,-26.27
1878,NA,-30.77,-28.93
1877,NA,-27.6,-30.02
1876,NA,-28.16,-26.18
1875,NA,-28.82,-27.16
1874,NA,-26.94,-28.45
1873,NA,-29.12,-26.26
1872,NA,-27.8,-27.03
1871,NA,-28.14,-26.12
1870,NA,-28.21,-24.71
1869,NA,-28.69,-28.31
1868,NA,-28.34,-26.34
1867,NA,-27.68,-26.77
1866,NA,-28.5,-27.18
1865,NA,-27.06,-26.05
1864,NA,-27.53,-25.78
1863,NA,-26.27,-26.27
1862,NA,-27.5,-24.5
1861,NA,-27.08,-25.27
1860,NA,-27.66,-25.85
1859,NA,-29.05,-27.07
1858,NA,-28.3,-25.11
1857,NA,-29.96,-28.95
1856,NA,-27.53,-26.78
1855,NA,-28.7,-26
1854,NA,-29.86,-28.55
1853,NA,-29.64,-26.9
1852,NA,-28.12,-27.43
1851,NA,-28.37,-27.34
1850,NA,-28.55,-27.48
1849,NA,-27.63,-27.48
1848,NA,-28.56,-26.91
1847,NA,-27.35,-25.25
1846,NA,-29.26,-25.77
1845,NA,-28.83,-27.03
1844,NA,-29.62,-27.03
1843,NA,-28.35,-26.61
1842,NA,-28.12,-26.44
1841,NA,-28.93,-27.25
1840,NA,-29.65,-25.82
1839,NA,-29.83,-28.21
1838,NA,-27.25,-28.26
1837,NA,-30.06,-26.61
1836,NA,-28.94,-29.12
1835,NA,-30.12,-28.1
1834,NA,-28.55,-27.8
1833,NA,-28.54,-27.89
1832,NA,-28.3,-27.55
1831,NA,-26.31,-22.56
1830,NA,-28.54,-26.4
1829,NA,-27.65,-27.23
1828,NA,-25.98,-26.86
1827,NA,-28.05,-24.57
1826,NA,-26.9,-25.89
1825,NA,-31.24,-27.11
1824,NA,-29.68,-28.37
1823,NA,-29.1,-27.93
1822,NA,-27.11,-27.2
1821,NA,-30.99,-25.98
1820,NA,-28.75,-25.82
1819,NA,-28.75,-25.64
1818,NA,-27.94,-27.23
1817,NA,-30.6,-27.75
1816,NA,-25.07,-25.66
1815,NA,-29.01,-25.3
1814,NA,-29.4,-28.21
1813,NA,-28.34,-28.23
1812,NA,-27.72,-27.36
1811,NA,-28.6,-24.54
1810,NA,-28.13,-27.26
1809,NA,-27.99,-27.61
1808,NA,-28.16,-24.69
1807,NA,-29.53,-27.48
1806,NA,-28.54,-28.4
1805,NA,-26.36,-26.12
1804,NA,-29.44,-25.52
1803,NA,-28.78,-29.58
1802,NA,-29.56,-27.61
1801,NA,-26.51,-27.38
1800,NA,-27.46,-26.18
1799,NA,-28.75,-26.98
1798,NA,-28.89,-26.1
1797,NA,-29.33,-28.05
1796,NA,-28.68,-28.24
1795,NA,-27.13,-26
1794,NA,-27.91,-25.52
1793,NA,-27.74,-26.96
1792,NA,-26.59,-24.86
1791,NA,-30.84,-23.78
1790,NA,-27.48,-28.51
1789,NA,-27.6,-25.32
1788,NA,-29.02,-25.5
1787,NA,-28.94,-28.9
1786,NA,-26.88,-25.31
1785,NA,-27.09,-26.38
1784,NA,-30.49,-27.92
1783,NA,-28.2,-27.84
1782,NA,-27.46,-27.79
1781,NA,-28.55,-26.59
1780,NA,-27.65,-25.6
1779,NA,-28.68,-27
1778,NA,-30,-29.26
